17 39
2023-05-04 13:36:35
[0][0]: X
[0][1]: X
[0][2]: X
[0][3]: X
[0][4]: X
[0][5]: X
[0][6]: X
[0][7]: X
[0][8]: X
[0][9]: X
[0][10]: X
[0][11]: X
[0][12]: X
[0][13]: X
[0][14]: X
[0][15]: X
[0][16]: X
[0][17]: X
[0][18]: X
[0][19]: X
[0][20]: X
[0][21]: X
[0][22]: X
[0][23]: X
[0][24]: X
[0][25]: X
[0][26]: X
[0][27]: X
[0][28]: X
[0][29]: X
[0][30]: X
[0][31]: X
[0][32]: X
[0][33]: X
[0][34]: X
[0][35]: X
[0][36]: X
[0][37]: X
[0][38]: X
[1][0]: X
[1][1]: .
[1][2]: .
[1][3]: .
[1][4]: .
[1][5]: .
[1][6]: .
[1][7]: .
[1][8]: .
[1][9]: .
[1][10]: .
[1][11]: .
[1][12]: .
[1][13]: . Pacman 3 1 pacman_left_opened.png Home
[1][14]: .
[1][15]: .
[1][16]: .
[1][17]: .
[1][18]: .
[1][19]: .
[1][20]: .
[1][21]: .
[1][22]: .
[1][23]: .
[1][24]: .
[1][25]: .
[1][26]: .
[1][27]: .
[1][28]: .
[1][29]: .
[1][30]: .
[1][31]: .
[1][32]: .
[1][33]: .
[1][34]: .
[1][35]: .
[1][36]: .
[1][37]: .
[1][38]: X
[2][0]: X
[2][1]: .
[2][2]: X
[2][3]: X
[2][4]: X
[2][5]: X
[2][6]: X
[2][7]: X
[2][8]: X
[2][9]: X
[2][10]: X
[2][11]: X
[2][12]: X
[2][13]: .
[2][14]: X
[2][15]: X
[2][16]: X
[2][17]: X
[2][18]: X
[2][19]: X
[2][20]: X
[2][21]: X
[2][22]: X
[2][23]: X
[2][24]: X
[2][25]: X
[2][26]: X
[2][27]: X
[2][28]: X
[2][29]: X
[2][30]: X
[2][31]: X
[2][32]: X
[2][33]: X
[2][34]: X
[2][35]: X
[2][36]: X
[2][37]: .
[2][38]: X
[3][0]: X
[3][1]: .
[3][2]: X
[3][3]: .
[3][4]: .
[3][5]: .
[3][6]: .
[3][7]: .
[3][8]: .
[3][9]: .
[3][10]: .
[3][11]: .
[3][12]: .
[3][13]: .
[3][14]: X
[3][15]: .
[3][16]: .
[3][17]: .
[3][18]: .
[3][19]: .
[3][20]: .
[3][21]: .
[3][22]: .
[3][23]: .
[3][24]: .
[3][25]: .
[3][26]: X
[3][27]: .
[3][28]: .
[3][29]: .
[3][30]: .
[3][31]: .
[3][32]: .
[3][33]: .
[3][34]: .
[3][35]: .
[3][36]: .
[3][37]: .
[3][38]: X
[4][0]: X
[4][1]: .
[4][2]: X
[4][3]: .
[4][4]: X
[4][5]: X
[4][6]: X
[4][7]: .
[4][8]: X
[4][9]: X
[4][10]: X
[4][11]: X
[4][12]: X
[4][13]: X
[4][14]: X
[4][15]: .
[4][16]: X
[4][17]: X
[4][18]: X
[4][19]: X
[4][20]: X
[4][21]: X
[4][22]: X
[4][23]: X
[4][24]: X
[4][25]: .
[4][26]: X
[4][27]: .
[4][28]: .
[4][29]: X
[4][30]: X
[4][31]: X
[4][32]: X
[4][33]: X
[4][34]: X
[4][35]: X
[4][36]: X
[4][37]: .
[4][38]: X
[5][0]: X
[5][1]: .
[5][2]: X
[5][3]: .
[5][4]: X
[5][5]: . Key
[5][6]: X
[5][7]: .
[5][8]: X
[5][9]: .
[5][10]: .
[5][11]: .
[5][12]: .
[5][13]: .
[5][14]: .
[5][15]: .
[5][16]: .
[5][17]: .
[5][18]: .
[5][19]: .
[5][20]: .
[5][21]: .
[5][22]: .
[5][23]: .
[5][24]: X
[5][25]: .
[5][26]: X
[5][27]: .
[5][28]: X
[5][29]: .
[5][30]: .
[5][31]: .
[5][32]: .
[5][33]: .
[5][34]: .
[5][35]: .
[5][36]: .
[5][37]: .
[5][38]: X
[6][0]: X
[6][1]: .
[6][2]: X
[6][3]: .
[6][4]: X
[6][5]: .
[6][6]: X
[6][7]: .
[6][8]: X
[6][9]: X
[6][10]: X
[6][11]: X
[6][12]: X
[6][13]: .
[6][14]: X
[6][15]: X
[6][16]: X
[6][17]: X
[6][18]: X
[6][19]: X
[6][20]: X
[6][21]: X
[6][22]: X
[6][23]: .
[6][24]: X
[6][25]: .
[6][26]: X
[6][27]: .
[6][28]: X
[6][29]: X
[6][30]: X
[6][31]: X
[6][32]: X
[6][33]: X
[6][34]: X
[6][35]: X
[6][36]: X
[6][37]: .
[6][38]: X
[7][0]: X
[7][1]: .
[7][2]: X
[7][3]: .
[7][4]: . Ghost ghost_yellow.png
[7][5]: .
[7][6]: .
[7][7]: .
[7][8]: X
[7][9]: .
[7][10]: .
[7][11]: .
[7][12]: .
[7][13]: .
[7][14]: X
[7][15]: .
[7][16]: .
[7][17]: .
[7][18]: .
[7][19]: . Ghost ghost_pink.png
[7][20]: . Target
[7][21]: .
[7][22]: X
[7][23]: .
[7][24]: .
[7][25]: .
[7][26]: .
[7][27]: .
[7][28]: X
[7][29]: .
[7][30]: .
[7][31]: .
[7][32]: .
[7][33]: .
[7][34]: .
[7][35]: .
[7][36]: X
[7][37]: .
[7][38]: X
[8][0]: X
[8][1]: .
[8][2]: X
[8][3]: X
[8][4]: X
[8][5]: X
[8][6]: X
[8][7]: X
[8][8]: X
[8][9]: .
[8][10]: X
[8][11]: X
[8][12]: X
[8][13]: .
[8][14]: X
[8][15]: .
[8][16]: X
[8][17]: X
[8][18]: X
[8][19]: X
[8][20]: X
[8][21]: .
[8][22]: X
[8][23]: X
[8][24]: X
[8][25]: X
[8][26]: X
[8][27]: X
[8][28]: X
[8][29]: .
[8][30]: X
[8][31]: .
[8][32]: X
[8][33]: X
[8][34]: X
[8][35]: X
[8][36]: X
[8][37]: .
[8][38]: X
[9][0]: X
[9][1]: .
[9][2]: .
[9][3]: .
[9][4]: .
[9][5]: .
[9][6]: .
[9][7]: .
[9][8]: X
[9][9]: .
[9][10]: .
[9][11]: .
[9][12]: X
[9][13]: .
[9][14]: X
[9][15]: . Key
[9][16]: .
[9][17]: .
[9][18]: .
[9][19]: .
[9][20]: X
[9][21]: .
[9][22]: .
[9][23]: .
[9][24]: .
[9][25]: .
[9][26]: .
[9][27]: .
[9][28]: .
[9][29]: .
[9][30]: X
[9][31]: .
[9][32]: .
[9][33]: .
[9][34]: .
[9][35]: .
[9][36]: X
[9][37]: .
[9][38]: X
[10][0]: X
[10][1]: .
[10][2]: X
[10][3]: X
[10][4]: X
[10][5]: X
[10][6]: X
[10][7]: .
[10][8]: X
[10][9]: X
[10][10]: X
[10][11]: .
[10][12]: X
[10][13]: .
[10][14]: X
[10][15]: X
[10][16]: X
[10][17]: X
[10][18]: X
[10][19]: .
[10][20]: X
[10][21]: X
[10][22]: X
[10][23]: X
[10][24]: X
[10][25]: X
[10][26]: X
[10][27]: X
[10][28]: X
[10][29]: X
[10][30]: X
[10][31]: .
[10][32]: X
[10][33]: X
[10][34]: X
[10][35]: X
[10][36]: X
[10][37]: .
[10][38]: X
[11][0]: X
[11][1]: .
[11][2]: .
[11][3]: .
[11][4]: .
[11][5]: .
[11][6]: .
[11][7]: .
[11][8]: X
[11][9]: .
[11][10]: .
[11][11]: .
[11][12]: X
[11][13]: .
[11][14]: X
[11][15]: .
[11][16]: .
[11][17]: .
[11][18]: .
[11][19]: .
[11][20]: X
[11][21]: .
[11][22]: .
[11][23]: .
[11][24]: .
[11][25]: .
[11][26]: .
[11][27]: .
[11][28]: .
[11][29]: .
[11][30]: .
[11][31]: .
[11][32]: .
[11][33]: .
[11][34]: .
[11][35]: .
[11][36]: X
[11][37]: .
[11][38]: X
[12][0]: X
[12][1]: .
[12][2]: X
[12][3]: X
[12][4]: X
[12][5]: X
[12][6]: X
[12][7]: X
[12][8]: X
[12][9]: .
[12][10]: X
[12][11]: X
[12][12]: X
[12][13]: .
[12][14]: X
[12][15]: .
[12][16]: X
[12][17]: X
[12][18]: X
[12][19]: X
[12][20]: X
[12][21]: .
[12][22]: X
[12][23]: X
[12][24]: X
[12][25]: X
[12][26]: X
[12][27]: .
[12][28]: X
[12][29]: X
[12][30]: X
[12][31]: X
[12][32]: X
[12][33]: X
[12][34]: X
[12][35]: X
[12][36]: X
[12][37]: .
[12][38]: X
[13][0]: X
[13][1]: .
[13][2]: .
[13][3]: .
[13][4]: .
[13][5]: .
[13][6]: .
[13][7]: .
[13][8]: .
[13][9]: .
[13][10]: .
[13][11]: .
[13][12]: .
[13][13]: X
[13][14]: .
[13][15]: .
[13][16]: .
[13][17]: .
[13][18]: .
[13][19]: .
[13][20]: .
[13][21]: .
[13][22]: .
[13][23]: .
[13][24]: .
[13][25]: X
[13][26]: .
[13][27]: .
[13][28]: .
[13][29]: .
[13][30]: .
[13][31]: .
[13][32]: .
[13][33]: .
[13][34]: .
